"","index","district_name","district_name_full","short","list"
"315",315,"Seven Hills Charter Public (District)","Seven Hills Charter, Worcester","sevenhillscharter","sevenhillscharter_list"
"316",316,"Sharon","Sharon Public Schools","sharon","sharon_list"
"317",317,"Shawsheen Valley Regional Vocational Technical","Shawsheen Valley Vocational, Billerica","shawsheenvalleyregional","shawsheenvalleyregional_list"
"318",318,"Sherborn","Sherborn Public Schools","sherborn","sherborn_list"
"319",319,"Shrewsbury","Shrewsbury Public Schools","shrewsbury","shrewsbury_list"
"320",320,"Shutesbury","Shutesbury Public Schools","shutesbury","shutesbury_list"
"321",321,"Silver Hill Horace Mann Charter (District)","Silver Hill Horace Mann Charter, Haverhill","silverhillhoracemanncharter","silverhillhoracemanncharter_list"
"322",322,"Silver Lake","Silver Lake Regional, Kingston","silverlake","silverlake_list"
"323",323,"Smith Leadership Academy Charter Public (District)","Smith Leadership Academy Charter, Boston","smithleadershipacademycharter","smithleadershipacademycharter_list"
"324",324,"Somerset","Somerset Berkley Regional","somerset","somerset_list"
"325",325,"Somerset Berkley Regional School District","Somerset Public Schools","somersetberkleyregionalschooldistrict","somersetberkleyregionalschooldistrict_list"
"326",326,"Somerville","Somerville Public Schools","somerville","somerville_list"
"327",327,"Southampton","Southampton Public Schools","southampton","southampton_list"
"328",328,"Southborough","Southborough Public Schools","southborough","southborough_list"
"329",329,"Southbridge","Southbridge Public Schools","southbridge","southbridge_list"
"330",330,"Southeastern Regional Vocational Technical","Southeastern Vocational, South Easton","southeasternregional","southeasternregional_list"
"331",331,"Southern Berkshire","Southern Berkshire Regional, Sheffield","southernberkshire","southernberkshire_list"
"332",332,"Southern Worcester County Regional Vocational Tech","Southern Worcester County Vocational, Charlton","southernworcestercountyregionaltech","southernworcestercountyregionaltech_list"
"333",333,"South Hadley","South Hadley Public Schools","southhadley","southhadley_list"
"334",334,"South Middlesex Regional Vocational Technical","South Middlesex Vocational, Framingham","southmiddlesexregional","southmiddlesexregional_list"
"335",335,"South Shore Charter Public (District)","South Shore Charter, Hull","southshorecharter","southshorecharter_list"
"336",336,"South Shore Regional Vocational Technical","South Shore Vocational, Hanover","southshoreregional","southshoreregional_list"
"337",337,"Southwick-Tolland-Granville Regional School Distri","Southwick-Tolland-Granville Regional","southwicktollandgranvilleregionalschooldistri","southwicktollandgranvilleregionalschooldistri_list"
"338",338,"Spencer-E Brookfield","Spencer-East Brookfield Regional","spencerebrookfield","spencerebrookfield_list"
"339",339,"Spirit of Knowledge Charter School (District)","Spirit of Knowledge Charter, Worcester","spiritofknowledgecharterschool","spiritofknowledgecharterschool_list"
"340",340,"Springfield","Springfield Public Schools","springfield","springfield_list"
"341",341,"Stoneham","Stoneham Public Schools","stoneham","stoneham_list"
"342",342,"Stoughton","Stoughton Public Schools","stoughton","stoughton_list"
"343",343,"Sturbridge","Sturbridge Public Schools","sturbridge","sturbridge_list"
"344",344,"Sturgis Charter Public (District)","Sturgis Charter, Hyannis","sturgischarter","sturgischarter_list"
"345",345,"Sudbury","Sudbury Public Schools","sudbury","sudbury_list"
"346",346,"Sunderland","Sunderland Public Schools","sunderland","sunderland_list"
"347",347,"Sutton","Sutton Public Schools","sutton","sutton_list"
"348",348,"Swampscott","Swampscott Public Schools","swampscott","swampscott_list"
"349",349,"Swansea","Swansea Public Schools","swansea","swansea_list"
"350",350,"Tantasqua","Tantasqua Regional, Fiskdale","tantasqua","tantasqua_list"
"351",351,"Taunton","Taunton Public Schools","taunton","taunton_list"
"352",352,"Tewksbury","Tewksbury Public Schools","tewksbury","tewksbury_list"
"353",353,"Tisbury","Tisbury Public Schools","tisbury","tisbury_list"
"354",354,"Topsfield","Topsfield Public Schools","topsfield","topsfield_list"
"355",355,"Tri County Regional Vocational Technical","Tri-County Vocational, Franklin","tricountyregional","tricountyregional_list"
"356",356,"Triton","Triton Regional, Byfield","triton","triton_list"
"357",357,"Truro","Truro Public Schools","truro","truro_list"
"358",358,"Tyngsborough","Tyngsborough Public Schools","tyngsborough","tyngsborough_list"
"359",359,"UP Academy Charter School of Boston (District)","UP Academy Charter, Boston","upacademycharterschoolofboston","upacademycharterschoolofboston_list"
"360",360,"Up-Island Regional","Up-Island Regional, Vineyard Haven","upislandregional","upislandregional_list"
"361",361,"Upper Cape Cod Regional Vocational Technical","Upper Cape Cod Vocational, Bourne","uppercapecodregional","uppercapecodregional_list"
"362",362,"Uxbridge","Uxbridge Public Schools","uxbridge","uxbridge_list"
"363",363,"Veritas Preparatory Charter School (District)","Veritas Preparatory Charter, Springfield","veritaspreparatorycharterschool","veritaspreparatorycharterschool_list"
"364",364,"Wachusett","Wachusett Regional, Jefferson","wachusett","wachusett_list"
"365",365,"Wakefield","Wakefield Public Schools","wakefield","wakefield_list"
"366",366,"Wales","Wales Public Schools","wales","wales_list"
"367",367,"Walpole","Walpole Public Schools","walpole","walpole_list"
"368",368,"Waltham","Waltham Public Schools","waltham","waltham_list"
"369",369,"Ware","Ware Public Schools","ware","ware_list"
"370",370,"Wareham","Wareham Public Schools","wareham","wareham_list"
"371",371,"Watertown","Watertown Public Schools","watertown","watertown_list"
"372",372,"Wayland","Wayland Public Schools","wayland","wayland_list"
"373",373,"Webster","Webster Public Schools","webster","webster_list"
"374",374,"Wellesley","Wellesley Public Schools","wellesley","wellesley_list"
"375",375,"Wellfleet","Wellfleet Public Schools","wellfleet","wellfleet_list"
"376",376,"Westborough","Westborough Public Schools","westborough","westborough_list"
"377",377,"West Boylston","West Boylston Public Schools","westboylston","westboylston_list"
"378",378,"West Bridgewater","West Bridgewater Public Schools","westbridgewater","westbridgewater_list"
"379",379,"Westfield","Westfield Public Schools","westfield","westfield_list"
"380",380,"Westford","Westford Public Schools","westford","westford_list"
"381",381,"Westhampton","Westhampton Public Schools","westhampton","westhampton_list"
"382",382,"Weston","Weston Public Schools","weston","weston_list"
"383",383,"Westport","Westport Community Public Schools","westport","westport_list"
"384",384,"West Springfield","West Springfield Public Schools","westspringfield","westspringfield_list"
"385",385,"Westwood","Westwood Public Schools","westwood","westwood_list"
"386",386,"Weymouth","Weymouth Public Schools","weymouth","weymouth_list"
"387",387,"Whately","Whately Public Schools","whately","whately_list"
"388",388,"Whitman-Hanson","Whitman-Hanson Regional, Whitman","whitmanhanson","whitmanhanson_list"
"389",389,"Whittier Regional Vocational Technical","Whittier Vocational, Haverhill","whittierregional","whittierregional_list"
"390",390,"Williamsburg","Williamsburg Public Schools","williamsburg","williamsburg_list"
"391",391,"Williamstown","Williamstown Public Schools","williamstown","williamstown_list"
"392",392,"Wilmington","Wilmington Public Schools","wilmington","wilmington_list"
"393",393,"Winchendon","Winchendon Public Schools","winchendon","winchendon_list"
"394",394,"Winchester","Winchester Public Schools","winchester","winchester_list"
"395",395,"Winthrop","Winthrop Public Schools","winthrop","winthrop_list"
"396",396,"Woburn","Woburn Public Schools","woburn","woburn_list"
"397",397,"Worcester","Worcester Public Schools","worcester","worcester_list"
"398",398,"Wrentham","Wrentham Public Schools","wrentham","wrentham_list"
"399",399,"Baystate Academy Charter Public School (District)","Baystate Academy Charter Public School","baystateacademycharter","baystateacademycharter_list"
"400",400,"Lowell Collegiate Charter School (District)","Lowell Collegiate Charter School","lowellcollegiate","lowellcollegiate_list"
"401",401,"Massachusetts Virtual Academy at Greenfield","Massachusetts Virtual Academy at Greenfield","massvirtualacademy","massvirtualacademy_list"
"402",402,"Paulo Freire Social Justice Charter School (District)","Paulo Freire Social Justice Charter School","paulofreire","paulofreire_list"
"403",403,"Pioneer Charter School of Science II (PCSS-II) (District)","Pioneer Charter School of Science II, Saugus","pioneercharterii","pioneercharterii_list"
"404",404,"UP Academy Charter School of Dorchester (District)","UP Academy Charter School of Dorchester","upacademydorchester","upacademydorchester_list"
