,school_name,english_rank,english_tested,english_score,english_image,math_rank,math_tested,math_score,math_image
263,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/cambridge.xml#schools'>Morse</a>,401,39,59,NA,647,38,42,NA
264,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/kingston.xml#schools'>Kingston Intermediate</a>,427,175,57,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,175,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
265,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Mary M Lynch</a>,498,33,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,33,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
266,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/weymouth.xml#schools'>William Seach</a>,498,60,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,647,60,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
267,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/marthasvineyardcharter.xml#schools'>Martha's Vineyard Charter School</a>,534,12,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,12,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
268,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dightonrehoboth.xml#schools'>Palmer River</a>,534,132,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,132,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
269,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/agawam.xml#schools'>Benjamin J Phelps</a>,559,69,49,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,69,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
270,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/everett.xml#schools'>Madeline English School</a>,559,86,49,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,86,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
271,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/malden.xml#schools'>Linden</a>,572,95,48,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,95,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
272,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/quincy.xml#schools'>Snug Harbor Community School</a>,572,44,48,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,43,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
273,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dennisyarmouth.xml#schools'>N H Wixon Innovation School</a>,611,247,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,246,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
274,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>Casimir Pulaski</a>,636,98,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,98,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
275,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fallriver.xml#schools'>John J Doran</a>,649,67,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,67,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
276,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/winchendon.xml#schools'>Toy Town Elementary</a>,697,87,38,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,86,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
277,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Thorndyke Road</a>,697,53,38,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,53,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
278,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/rockland.xml#schools'>Jefferson Elementary School</a>,723,31,35,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,31,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
279,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/holyoke.xml#schools'>Lt Elmer J McMahon Elementary</a>,738,50,34,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,50,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
280,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Lyndon</a>,772,51,31,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,52,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
281,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/brockton.xml#schools'>Huntington</a>,772,77,31,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,77,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
282,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/braintree.xml#schools'>Liberty</a>,772,45,31,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,45,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
283,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Young Achievers</a>,809,59,27,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,647,60,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
284,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/chelsea.xml#schools'>Frank M Sokolowski Elementary</a>,881,123,15,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,647,123,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
285,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/maynard.xml#schools'>Fowler School</a>,442,129,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,130,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
286,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Capt William G Shoemaker</a>,456,53,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,53,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
287,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/oxford.xml#schools'>Clara Barton</a>,456,141,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,634,141,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
288,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/fitchburg.xml#schools'>South Street Elementary</a>,534,92,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,634,93,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
289,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/abbykelleyfostercharter.xml#schools'>Abby Kelley Foster Charter Public School</a>,597,122,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,122,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
290,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/taunton.xml#schools'>Edmund Hatch Bennett</a>,636,77,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,77,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
291,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/centralberkshire.xml#schools'>Craneville</a>,649,85,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,86,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
292,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/woburn.xml#schools'>Goodyear Elementary School</a>,660,59,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,634,60,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
293,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/revere.xml#schools'>Beachmont Veterans Memorial School</a>,697,53,38,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,53,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
294,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/conservatorylabcharter.xml#schools'>Conservatory Lab Charter School</a>,747,24,33,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,23,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
295,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lynn.xml#schools'>Julia F Callahan</a>,758,57,32,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,56,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
296,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lawrence.xml#schools'>Robert Frost</a>,781,104,30,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,634,104,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
297,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Roger Clap</a>,790,21,29,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,634,21,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
298,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/quincy.xml#schools'>Squantum</a>,309,64,64,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,618,64,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
299,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/saugus.xml#schools'>Douglas Waybright</a>,401,39,59,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,39,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
300,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/whately.xml#schools'>Whately Elementary</a>,401,17,59,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,18,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
301,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/lawrence.xml#schools'>Emily G Wetherbee</a>,442,64,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,63,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
302,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/waltham.xml#schools'>Thomas R Plympton Elementary School</a>,442,62,56,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,618,61,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
303,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dracut.xml#schools'>Brookside Elementary</a>,515,126,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,618,127,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
304,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/silverhillhoracemanncharter.xml#schools'>Silver Hill Horace Mann Charter School</a>,515,103,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,103,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
305,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/reading.xml#schools'>Wood End Elementary School</a>,534,64,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,618,64,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
306,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/dedham.xml#schools'>Riverdale</a>,559,37,49,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,36,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
307,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/haverhill.xml#schools'>Pentucket Lake Elementary</a>,588,132,47,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,618,131,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
308,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/saugus.xml#schools'>Lynnhurst</a>,588,43,47,NA,618,43,44,NA
309,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Arthur T Talmadge</a>,626,50,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,618,50,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
310,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/haverhill.xml#schools'>Golden Hill</a>,708,81,37,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,81,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
311,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/carver.xml#schools'>Carver Elementary School</a>,712,117,36,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,117,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
312,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Harvard-Kent</a>,846,70,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,70,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
313,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Sumner Avenue</a>,851,67,22,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,618,66,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
314,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/whitmanhanson.xml#schools'>Louise A Conley</a>,291,99,65,NA,602,99,45,NA
315,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/worcester.xml#schools'>Nelson Place</a>,378,75,60,NA,602,76,45,NA
316,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>John D Philbrick</a>,456,20,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,602,20,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
317,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/medford.xml#schools'>Brooks School</a>,456,84,55,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,602,84,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
318,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/marlborough.xml#schools'>Richer</a>,498,87,52,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,602,88,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
319,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/middleborough.xml#schools'>Mary K. Goode Elementary School</a>,534,133,50,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,602,133,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
320,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/billerica.xml#schools'>Eugene C Vining</a>,572,29,48,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,602,29,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
321,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/salem.xml#schools'>Horace Mann Laboratory</a>,611,51,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,602,51,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
322,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/hampdenwilbraham.xml#schools'>Green Meadows Elementary</a>,611,56,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,602,56,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
323,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>John Avery Parker</a>,660,32,41,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,602,33,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
324,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Alfred G Zanetti</a>,679,42,40,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,602,42,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
325,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>William H Ohrenberger</a>,687,110,39,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,602,110,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
326,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/stoneham.xml#schools'>Central</a>,738,56,34,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,602,56,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
327,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/clarksburg.xml#schools'>Clarksburg Elementary</a>,809,22,27,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,602,22,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
328,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/springfield.xml#schools'>Homer Street</a>,846,56,23,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,602,55,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
329,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/florida.xml#schools'>Abbott Memorial</a>,907,11,9,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,602,11,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
330,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/southampton.xml#schools'>William E Norris</a>,146,80,74,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,589,80,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
331,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/plymouth.xml#schools'>Indian Brook</a>,351,110,62,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,589,111,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
332,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/belchertown.xml#schools'>Chestnut Hill Community School</a>,378,171,60,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,589,170,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
333,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/monson.xml#schools'>Quarry Hill Community School</a>,515,101,51,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,589,105,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
334,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/billerica.xml#schools'>Hajjar Elementary</a>,559,85,49,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,589,84,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
335,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/adamscheshire.xml#schools'>Cheshire Elementary</a>,597,28,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,589,28,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
336,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/methuen.xml#schools'>Tenney Grammar School</a>,611,145,45,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,589,145,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
337,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/pentucket.xml#schools'>Helen R Donaghue School</a>,626,82,44,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,589,82,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
338,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/peabody.xml#schools'>William A Welch Sr</a>,636,46,43,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>,589,46,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
339,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/boston.xml#schools'>Curley K-8 School</a>,649,74,42,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,589,74,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/nochange.gif'>
340,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/methuen.xml#schools'>Marsh Grammar School</a>,723,127,35,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>,589,127,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
341,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/newbedford.xml#schools'>John Hannigan</a>,851,37,22,NA,589,37,46,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
343,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/ashburnhamwestminster.xml#schools'>Briggs Elementary</a>,225,86,69,NA,576,85,47,NA
344,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/quincy.xml#schools'>Francis W Parker</a>,264,43,67,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,576,43,47,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>
345,<a href='http://www.bostonglobe.com/Page/Boston/2011-2020/WebGraphics/Metro/BostonGlobe.com/mcas/2014/districts/xml/woburn.xml#schools'>Shamrock</a>,363,36,61,<img src='http://cache.boston.com/news/special/education/mcas/scores13/declined.gif'>,576,36,47,<img src='http://cache.boston.com/news/special/education/mcas/scores13/improved.gif'>
